"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"y_rep[3,6]",0.110054577853387,0.000528820205552924,0.0332058661173884,0.0435367932147709,0.087609052474385,0.110107473402771,0.132219769100787,0.175353466988507,3942.87985574013,1.000871387466
"y_rep[3,7]",0.122112145431782,0.000544719826799752,0.0332743389837226,0.0563445643867082,0.100393945283989,0.12164545671025,0.144410908195842,0.188326400978384,3731.40601451304,1.00025300453176
"y_rep[3,8]",0.13006932586873,0.000546981448234667,0.0332565744857307,0.0663147773865542,0.107139385915319,0.129882846691831,0.152863723659869,0.19315684855106,3696.6627720331,0.999928111314989
"y_rep[3,9]",0.138879904620213,0.000528396307083771,0.0339580820601625,0.0728531050089084,0.115763803860517,0.138702454835903,0.161953246086672,0.205350804757568,4130.15888957475,0.999775553310667
"y_rep[3,10]",0.148432782108756,0.000531756698795589,0.0333136482537264,0.0832377266680184,0.126339335141206,0.148266699081265,0.170311347243048,0.215100322263036,3924.8083290238,0.999968501552415
"y_rep[3,11]",0.157938794075711,0.000524872292684402,0.0337235735429423,0.0932569458765549,0.134543547774441,0.158243401004466,0.180500616397413,0.225304637816372,4128.19194741541,0.999929785795786
"y_rep[3,12]",0.16618118618169,0.000537085242496693,0.0335178637188811,0.102296861001,0.143571280962991,0.166094248752644,0.188554944377178,0.232318524170217,3894.63016089627,1.00029588928171
"y_rep[3,13]",0.176259810302485,0.000544283108768895,0.0339336818597549,0.111372845426816,0.152663131752177,0.176121067432523,0.198831143095943,0.243215179526032,3886.97953773957,0.999912423371485
"y_rep[3,14]",0.185597285246811,0.000526918993899936,0.0340247763047049,0.117653743451421,0.163344646096464,0.185830174889163,0.208878326641771,0.253246609497784,4169.68117983246,1.00051091621443
"y_rep[3,15]",0.194122020709672,0.000576933531831543,0.0338467089748091,0.128417223784008,0.171484490908387,0.194294161019637,0.216833057932673,0.260355878797002,3441.7659361332,1.0016447171433
"y_rep[3,16]",0.203324573697448,0.000518535545470409,0.0338484038758917,0.1363972211117,0.180723111444484,0.202906373681359,0.22600060180506,0.270156081619138,4261.07642494057,0.999825477572404
"y_rep[3,17]",0.21268140285423,0.000526952289671848,0.0338744575788996,0.146987772794612,0.189202500235039,0.212464375709002,0.236334901286774,0.277922310318199,4132.39766621972,0.999562498051279
"y_rep[3,18]",0.221450450253111,0.000512699226598005,0.0334398467249673,0.154378658669192,0.198891302496851,0.222024269377391,0.243850886525769,0.286862683270358,4254.05628440311,1.00008072934413
"y_rep[3,19]",0.229936847837977,0.000543564104256177,0.0340858604202358,0.163433427737924,0.20677987833438,0.23015170463916,0.253611310823956,0.295534530603601,3932.30308626397,0.999783478032703
"y_rep[3,20]",0.237612177795054,0.00054727956918673,0.034429532239776,0.169253522561186,0.214681952155686,0.237871167446588,0.260807959814054,0.303974069647567,3957.7082274986,0.999858900341804
"y_rep[3,21]",0.245907483916587,0.000527376921977919,0.0335531829226975,0.181596235929191,0.223184427511243,0.244965385320443,0.268842728067,0.312800582751889,4047.85742040616,0.999443635605497
"y_rep[3,22]",0.254223105510858,0.000525061627603847,0.0338587017748879,0.188571312729758,0.23163191583661,0.254122001219089,0.276416423095554,0.321264933632989,4158.3404556967,1.00021569804131
"y_rep[3,23]",0.265902730519198,0.000544100383875409,0.0344983288715657,0.20102083858558,0.242382816597782,0.265379955276264,0.288898278727462,0.334912441979887,4020.11106222795,1.00030784326033
